product_id,name,brand,category,price,rating,review_count,image_url,product_url,availability,vendor
CROMA309705,Apple iPhone 16 (Ultramarine, 512GB),Apple,Smartphone,99900,0,0,https://rukminim2.flixcart.com/image/2864/2864/xif0q/mobile/g/l/q/-original-imahgfmzdbnzzjjg.jpeg?q=90,https://www.croma.com/apple-iphone-16-512gb-ultramarine-/p/309705,In Stock,Croma
CROMA300775,Apple iPhone 15 Plus (Pink, 128GB),Apple,Smartphone,64900,3.4,1,https://media-ik.croma.com/prod/https://media.tatacroma.com/Croma%20Assets/Communication/Mobiles/Images/309693_0_ltbvx2.png?tr=w-1000,https://www.croma.com/apple-iphone-15-plus-128gb-pink-/p/300775,In Stock,Croma
CROMA261932,Apple iPhone 14 (128GB, Purple),Apple,Smartphone,52190,4.7,105,https://m.media-amazon.com/images/I/61YSNhAb00L._SL1500_.jpg,https://www.croma.com/apple-iphone-14-128gb-purple-/p/261932,In Stock,Croma
CROMA314882,Google Pixel 9a 5G (Porcelain, 256GB),Google,Smartphone,39999,4.6,6,https://m.media-amazon.com/images/I/71T6fNlZTjL._SL1500_.jpg,https://www.croma.com/google-pixel-9a-5g-8gb-ram-256gb-porcelain-/p/314882,In Stock,Croma
CROMA314881,Google Pixel 9a 5G (Obsidian, 256GB),Google,Smartphone,39999,4.2,2,https://m.media-amazon.com/images/I/51loAyfmYXL._SL1057_.jpg,https://www.croma.com/google-pixel-9a-5g-8gb-ram-256gb-obsidian-/p/314881,In Stock,Croma
CROMA309156,Google Pixel 8a 5G (Obsidian, 128GB),Google,Smartphone,37999,3.9,6,https://m.media-amazon.com/images/I/51IS4vxjlLL.jpg,https://www.croma.com/google-pixel-8a-5g-8gb-ram-128gb-obsidian-/p/309156,In Stock,Croma
CROMA320709,OPPO K14x 5G (Icy Blue, 128GB),OPPO,Smartphone,14999,0,0,https://rukminim2.flixcart.com/image/2864/2864/xif0q/mobile/r/s/g/-original-imahkkpg3hbtardn.jpeg?q=90,https://www.croma.com/oppo-k14x-5g-4gb-ram-128gb-icy-blue-/p/320709,In Stock,Croma
CROMA308549,OPPO A3 5G (Nebula Red, 128GB),OPPO,Smartphone,13999,0,0,https://rukminim2.flixcart.com/image/2864/2864/xif0q/mobile/x/c/y/-original-imah57jbfqsz6797.jpeg?q=90,https://www.croma.com/oppo-a3-5g-6gb-ram-128gb-nebula-red-/p/308549,In Stock,Croma
CROMA317385,Vivo V60 5G (Auspicious Gold, 256GB, 12GB RAM),Vivo,Smartphone,,,,https://m.media-amazon.com/images/I/61k1bvaUF+L._SL1500_.jpg,https://www.croma.com/vivo-v60-5g-12gb-ram-256gb-auspicious-gold-/p/317385,In Stock,Croma
CROMA318678,Vivo Y31 Pro 5G (Dreamy White, 8GB, 128GB),Vivo,Smartphone,19999,0,0,https://m.media-amazon.com/images/I/71BQgSj2kXL._SL1500_.jpg,https://www.croma.com/vivo-y31-pro-5g-8gb-ram-128gb-dreamy-white-/p/318678,In Stock,Croma
